name,salary,birth_date,position,department
Heidi,996,1956-7-2,manager,Cleaning
Alice,868,1954-7-21,developer,Cleaning
Alice,1727,1964-9-24,driver,Finance
Ivan,749,1967-3-2,courier,HR
Grace,761,1955-5-28,courier,Transport
Judy,1326,1980-12-11,developer,Marketing
Grace,1299,1954-2-23,tester,Sales
Frank,1074,1992-2-3,accountant,Logistics
Ivan,600,1972-3-11,HR,Production
Eve,486,1952-1-18,courier,Cleaning
David,905,1954-7-15,accountant,Logistics
David,982,1955-8-15,cook,Marketing
Eve,1099,1984-2-18,driver,Marketing
Frank,1260,1984-11-28,HR,IT
Heidi,1680,1969-12-7,developer,IT
David,933,1972-12-25,HR,Marketing
Bob,858,1961-11-4,courier,Marketing
Bob,1049,1962-4-10,cook,Marketing
Charlie,950,1963-7-25,courier,Marketing
David,938,1989-10-27,cleaner,Sales
Bob,981,1956-1-5,secretary,Marketing
Ivan,783,1973-5-20,secretary,HR
Bob,1787,1997-12-17,secretary,Finance
Grace,672,2000-2-24,cleaner,HR
David,1316,1959-9-5,designer,IT
Frank,625,1971-6-28,HR,Production
Grace,1172,1963-2-7,accountant,Logistics
David,954,1962-4-6,developer,Catering
Judy,895,1951-8-10,driver,Transport
Judy,1820,1961-7-16,tester,Finance
Frank,1254,1986-6-10,courier,IT
Bob,947,1950-9-25,secretary,Marketing
Heidi,896,1972-10-4,developer,Production
Charlie,888,1977-9-28,HR,HR
Judy,1309,1962-3-8,accountant,Sales
Eve,794,1962-12-26,tester,Catering
Grace,1005,1976-9-3,cook,Sales
Alice,564,1961-8-8,cook,Cleaning
Judy,1891,1992-10-21,accountant,Finance
Grace,465,1956-3-7,secretary,Cleaning
Eve,811,1989-2-7,HR,Transport
Frank,1093,1965-3-17,cook,Marketing
Eve,840,1977-2-20,tester,Transport
Grace,789,1963-6-1,cleaner,Logistics
Alice,1374,1991-9-2,manager,Production
Frank,1039,1998-1-28,HR,Sales
Judy,725,1984-3-18,accountant,Production
Ivan,762,1964-7-11,accountant,Catering
Frank,763,1965-7-6,driver,Transport
Alice,533,1979-4-27,cook,Catering
Eve,1701,1957-6-9,HR,Finance
David,904,1954-7-19,courier,Marketing
Alice,1489,1997-12-15,manager,HR
Heidi,783,1975-11-24,cleaner,Logistics
Judy,922,1968-3-27,developer,Production
Heidi,374,1966-11-1,cleaner,Cleaning
Charlie,2289,1967-8-8,manager,Finance
Grace,1199,1992-1-24,accountant,Logistics
Heidi,493,1998-10-19,HR,Cleaning
Bob,810,1997-12-4,cleaner,Marketing
Ivan,1825,1957-6-12,tester,Finance
Frank,858,1970-11-7,designer,Transport
Charlie,870,1996-12-20,cook,Transport
Grace,1022,1980-4-23,designer,Marketing
Judy,963,1991-1-13,tester,HR
Grace,608,1957-5-16,courier,Production
Heidi,703,1971-7-4,driver,Production
Alice,710,1997-5-15,HR,Production
Judy,1187,1966-8-10,cook,Sales
Judy,919,1984-8-7,designer,Production
Judy,703,1995-12-9,designer,Cleaning
Eve,876,1984-10-5,tester,Transport
Charlie,1284,1968-11-2,designer,Sales
Charlie,501,1956-12-27,cook,Catering
Frank,943,1988-6-26,developer,HR
Alice,795,1965-10-3,driver,Transport
David,599,1995-2-7,HR,Catering
